,meter2
1347125100,0.0000000000e+00
1347125160,0.0000000000e+00
1347125220,0.0000000000e+00
1347125280,0.0000000000e+00
1347125340,0.0000000000e+00
1347125400,0.0000000000e+00
1347125460,0.0000000000e+00
1347125520,0.0000000000e+00
1347125580,0.0000000000e+00
1347125640,0.0000000000e+00
1347125700,0.0000000000e+00
1347125760,0.0000000000e+00
1347125820,0.0000000000e+00
1347125880,0.0000000000e+00
1347125940,0.0000000000e+00
1347126000,0.0000000000e+00
1347126060,0.0000000000e+00
1347126120,0.0000000000e+00
1347126180,0.0000000000e+00
1347126240,0.0000000000e+00
1347126300,0.0000000000e+00
1347126360,0.0000000000e+00
1347126420,0.0000000000e+00
1347126480,0.0000000000e+00
1347126540,0.0000000000e+00
1347126600,0.0000000000e+00
1347126660,0.0000000000e+00
1347126720,0.0000000000e+00
1347126780,0.0000000000e+00
1347126840,0.0000000000e+00
1347126900,0.0000000000e+00
1347126960,0.0000000000e+00
1347127020,0.0000000000e+00
1347127080,0.0000000000e+00
1347127140,0.0000000000e+00
1347127200,0.0000000000e+00
1347127260,0.0000000000e+00
1347127320,0.0000000000e+00
1347127380,0.0000000000e+00
1347127440,0.0000000000e+00
1347127500,0.0000000000e+00
1347127560,0.0000000000e+00
1347127620,0.0000000000e+00
1347127680,0.0000000000e+00
1347127740,0.0000000000e+00
1347127800,0.0000000000e+00
1347127860,0.0000000000e+00
1347127920,0.0000000000e+00
1347127980,0.0000000000e+00
1347128040,0.0000000000e+00
1347128100,0.0000000000e+00
1347128160,0.0000000000e+00
1347128220,0.0000000000e+00
1347128280,0.0000000000e+00
1347128340,0.0000000000e+00
1347128400,0.0000000000e+00
1347128460,0.0000000000e+00
1347128520,0.0000000000e+00
1347128580,0.0000000000e+00
1347128640,0.0000000000e+00
1347128700,0.0000000000e+00
1347128760,0.0000000000e+00
1347128820,0.0000000000e+00
1347128880,0.0000000000e+00
1347128940,0.0000000000e+00
1347129000,0.0000000000e+00
1347129060,0.0000000000e+00
1347129120,0.0000000000e+00
1347129180,0.0000000000e+00
1347129240,0.0000000000e+00
1347129300,0.0000000000e+00
1347129360,0.0000000000e+00
1347129420,0.0000000000e+00
1347129480,0.0000000000e+00
1347129540,0.0000000000e+00
1347129600,0.0000000000e+00
1347129660,0.0000000000e+00
1347129720,0.0000000000e+00
1347129780,0.0000000000e+00
1347129840,0.0000000000e+00
1347129900,0.0000000000e+00
1347129960,0.0000000000e+00
1347130020,0.0000000000e+00
1347130080,0.0000000000e+00
1347130140,0.0000000000e+00
1347130200,0.0000000000e+00
1347130260,0.0000000000e+00
1347130320,0.0000000000e+00
1347130380,0.0000000000e+00
1347130440,0.0000000000e+00
1347130500,0.0000000000e+00
1347130560,0.0000000000e+00
1347130620,0.0000000000e+00
1347130680,0.0000000000e+00
1347130740,0.0000000000e+00
1347130800,0.0000000000e+00
1347130860,0.0000000000e+00
1347130920,0.0000000000e+00
1347130980,0.0000000000e+00
1347131040,0.0000000000e+00
1347131100,0.0000000000e+00
1347131160,0.0000000000e+00
1347131220,0.0000000000e+00
1347131280,0.0000000000e+00
1347131340,0.0000000000e+00
1347131400,0.0000000000e+00
1347131460,0.0000000000e+00
1347131520,0.0000000000e+00
1347131580,0.0000000000e+00
1347131640,0.0000000000e+00
1347131700,0.0000000000e+00
1347131760,0.0000000000e+00
1347131820,0.0000000000e+00
1347131880,0.0000000000e+00
1347131940,0.0000000000e+00
1347132000,0.0000000000e+00
1347132060,0.0000000000e+00
1347132120,0.0000000000e+00
1347132180,0.0000000000e+00
1347132240,0.0000000000e+00
1347132300,0.0000000000e+00
1347132360,0.0000000000e+00
1347132420,0.0000000000e+00
1347132480,0.0000000000e+00
1347132540,0.0000000000e+00
1347132600,0.0000000000e+00
1347132660,0.0000000000e+00
1347132720,0.0000000000e+00
1347132780,0.0000000000e+00
1347132840,0.0000000000e+00
1347132900,0.0000000000e+00
1347132960,0.0000000000e+00
1347133020,0.0000000000e+00
1347133080,0.0000000000e+00
1347133140,0.0000000000e+00
1347133200,0.0000000000e+00
1347133260,0.0000000000e+00
1347133320,0.0000000000e+00
1347133380,0.0000000000e+00
1347133440,0.0000000000e+00
1347133500,0.0000000000e+00
1347133560,0.0000000000e+00
1347133620,0.0000000000e+00
1347133680,0.0000000000e+00
1347133740,0.0000000000e+00
1347133800,0.0000000000e+00
1347133860,0.0000000000e+00
1347133920,0.0000000000e+00
1347133980,0.0000000000e+00
1347134040,0.0000000000e+00
