,total
1347134580,3.1224276000e+01
1347134640,5.9054359500e+01
1347134700,3.0000000000e+01
1347134760,3.1202615000e+01
1347134820,5.8818962500e+01
1347134880,3.1236805500e+01
1347134940,6.0000000000e+01
1347135000,6.0000000000e+01
1347135060,5.8759896000e+01
1347135120,3.0000000000e+01
1347135180,3.1218717500e+01
1347135240,6.0000000000e+01
1347135300,6.0000000000e+01
1347135360,6.0000000000e+01
1347135420,5.8742060000e+01
1347135480,3.1274339000e+01
1347135540,5.8753424000e+01
1347135600,3.1265065000e+01
1347135660,6.0000000000e+01
1347135720,6.2545683000e+01
1347135780,1.1872140950e+02
1347135840,9.1281753500e+01
1347135900,1.1876293600e+02
1347135960,9.2563205000e+01
1347136020,1.4872493600e+02
1347136080,1.2129713950e+02
1347136140,1.4870719550e+02
1347136200,1.1869874650e+02
1347136260,9.1280530000e+01
1347136320,1.2000000000e+02
1347136380,1.2000000000e+02
1347136440,1.2285558100e+02
1347136500,1.7606078850e+02
1347136560,9.2601365000e+01
1347136620,1.4871221800e+02
1347136680,1.2000000000e+02
1347136740,1.1867513750e+02
1347136800,8.7091776000e+01
