,total
1343139840,1.9833333333e+02
1343157120,2.5124652778e+02
1343174400,4.6754687500e+02
1343191680,1.9082465278e+02
1343208960,1.4120972222e+03
1343226240,1.7437326389e+02
1343243520,4.9693421053e+02
1343260800,2.4739622642e+02
1343278080,2.0545422535e+02
1343295360,1.4350138889e+03
1343312640,5.5143923611e+02
1343329920,3.2882291667e+02
1343347200,3.1720634921e+02
1343364480,1.7955381944e+02
1343381760,1.7162899306e+03
1343399040,4.4458159722e+02
1343416320,2.6168923611e+02
1343433600,3.7519270833e+02
1343450880,1.7967100694e+02
1343468160,2.5982031250e+02
1343485440,1.2600892857e+03
1343502720,6.0419889503e+02
1343520000,6.1928171642e+02
1343537280,1.9786284722e+02
1343554560,1.2703525896e+03
1343571840,2.3469855596e+02
1343589120,3.5275364964e+02
1343606400,3.4203892216e+02
1343658240,1.8658392857e+02
1343675520,2.1372340426e+02
1343744640,2.5879340278e+02
1343761920,4.3719965278e+02
1343779200,3.3367894737e+02
1343796480,1.8745138889e+02
1343813760,1.6297994792e+03
1343831040,2.6807552083e+02
1343848320,3.9229861111e+02
1343865600,3.4312500000e+02
1343882880,2.0617708333e+02
1343900160,1.8356215278e+03
1343917440,3.9814930556e+02
1343934720,2.3044097222e+02
1343952000,2.1871527778e+02
1343969280,1.7971354167e+02
1343986560,1.1546857639e+03
1344003840,3.3876562500e+02
1344021120,2.8061111111e+02
1344038400,3.8738541667e+02
1344055680,2.5265104167e+02
1344072960,1.2086336806e+03
1344090240,4.7326562500e+02
1344107520,1.1165034722e+03
1344124800,4.7567534722e+02
1344142080,1.9513888889e+02
1344159360,1.1954270833e+03
1344176640,2.5285243056e+02
1344193920,1.8044097222e+02
1344211200,2.4371875000e+02
1344228480,2.0414583333e+02
1344245760,9.1611979167e+02
1344263040,1.8750347222e+02
1344280320,2.3371180556e+02
1344297600,1.8224131944e+02
1344314880,5.9177256944e+02
1344332160,1.7785243056e+02
1344349440,6.4010069444e+02
1344366720,3.8802951389e+02
1344384000,4.5226041667e+02
1344401280,3.5053645833e+02
1344418560,1.0913680556e+03
1344435840,5.0552777778e+02
1344453120,4.0028993056e+02
1344470400,3.1627719298e+02
1344487680,1.6499131944e+02
1344504960,1.7059722222e+03
1344574080,1.5116493056e+02
1344591360,1.2202204861e+03
1344608640,1.4957118056e+02
1344625920,1.4687673611e+02
1344643200,1.4685243056e+02
1344660480,1.4602604167e+02
1344677760,1.5002777778e+02
1344695040,1.4755902778e+02
1344712320,1.6628819444e+02
1344729600,1.4520312500e+02
1344746880,1.4992187500e+02
1344764160,1.6365277778e+02
1344781440,1.4917881944e+02
1344798720,2.9888111888e+02
1344816000,3.6453310105e+02
1344833280,1.6347222222e+02
1344850560,1.2397152778e+03
1344867840,5.6178800000e+02
1345818240,1.5382636982e+02
1345835520,7.0743914123e+01
1345852800,3.9206237182e+02
1345870080,4.8740477720e+01
1345887360,2.2047173313e+02
1345904640,4.7398166047e+01
1346008320,5.4411868798e+02
1346025600,1.9165581264e+02
1346042880,1.2826321638e+02
1346060160,8.7406421910e+02
1346077440,1.3677353521e+02
1346094720,1.0825775601e+02
1346112000,1.4125596909e+02
1346129280,5.6370054009e+01
1346146560,8.7603936826e+02
1346163840,6.9136889767e+01
1346198400,3.4168905788e+02
1346215680,5.2908056674e+01
1346232960,1.0315341001e+03
1346250240,1.6575971895e+02
1346267520,5.9202263162e+02
1346284800,2.1204287615e+02
1346302080,2.6567075379e+02
1346319360,9.9579895376e+02
1346336640,1.2059961418e+02
1346353920,3.9923061889e+02
1346371200,2.8908500043e+02
1346388480,5.5454738113e+01
1346405760,9.8155946625e+02
1346423040,2.7250287255e+02
1346440320,5.3990031948e+02
1346457600,1.6653772638e+02
1346474880,5.2571637434e+01
1346492160,5.0708783577e+02
1346509440,6.9816470760e+01
1346526720,5.3660121597e+02
1346544000,2.1238476466e+02
1346561280,7.2309849753e+01
1346578560,2.7517949799e+02
1346595840,7.6273739543e+02
1346613120,2.0468454470e+02
1346630400,1.5146097584e+02
1346647680,5.5086737488e+01
1346664960,4.0446952711e+02
1346682240,3.5182477694e+02
1346699520,1.5772588530e+02
1346716800,2.0488538311e+02
1346734080,5.3917936698e+01
1346751360,7.5813670732e+02
1346768640,3.6519412606e+02
1346785920,7.3248296413e+01
1346803200,4.9573245133e+02
1346820480,5.7296768535e+01
1346837760,7.5724738952e+02
1346855040,1.1747020909e+02
1346872320,2.0417758515e+02
1346889600,1.1563519666e+02
1346906880,5.4167055417e+01
1346924160,9.8013260159e+02
1346941440,1.3909843240e+02
1346958720,1.2960019601e+02
1346976000,3.4343637562e+02
1346993280,5.0620973220e+01
1347010560,1.5280047435e+03
1347027840,2.3139696462e+02
1347045120,2.7521945061e+02
1347062400,1.1676122563e+02
1347079680,4.8033367594e+01
1347096960,1.4366159915e+03
1347114240,1.1922584789e+02
1347131520,1.3593178884e+02
1347148800,1.1310809868e+02
